CGPA,AptitudeScore,CommunicationSkill,Internships,Projects,Certifications,MockInterviewScore,Backlogs,Attendance,CodingScore,Placed
5.54,91,7,4,2,5,48,3,67,31,1
9.58,72,6,3,6,6,83,4,56,37,1
6.15,64,10,0,2,4,37,0,69,83,1
5.19,44,7,0,7,4,87,2,59,72,1
7.77,51,5,3,6,5,54,4,68,57,0
6.85,96,10,0,7,1,69,3,81,83,1
9.15,70,2,1,0,2,41,0,55,37,0
9.04,54,10,0,7,4,56,0,87,40,1
6.59,62,2,0,4,0,82,3,61,54,0
9.76,72,3,4,7,2,48,2,94,93,1
6.45,69,9,0,2,5,39,5,86,71,0
7.58,80,8,0,7,6,66,3,63,88,1
6.28,51,10,4,4,3,41,5,78,43,0
9.68,77,8,0,0,2,52,1,55,88,1
5.82,63,7,4,3,3,61,2,54,30,0
5.22,96,4,0,1,4,69,0,97,42,1
7.18,45,1,0,7,3,74,3,90,64,0
9.96,44,2,0,2,0,77,1,57,28,1
9.46,65,3,3,1,3,89,2,64,89,1
8.74,68,1,3,4,2,34,2,59,90,1
9.45,79,6,2,3,4,55,1,69,65,1
9.47,61,8,1,0,6,30,0,64,47,1
7.59,94,10,0,6,6,30,3,66,32,1
6.58,65,5,2,6,4,44,5,76,71,1
8.86,43,9,1,5,2,71,1,59,65,1
8.31,42,10,2,4,3,92,2,94,81,1
6.87,98,9,3,3,1,84,1,86,70,1
5.47,43,5,4,4,6,75,4,88,34,0
8.73,96,4,2,4,5,84,2,58,34,1
6.31,53,10,0,1,5,42,5,85,83,0
9.68,41,3,1,0,2,88,1,91,36,1
6.2,54,5,4,2,2,92,0,58,95,1
5.61,74,1,2,3,5,36,3,87,32,0
9.16,62,8,3,1,3,62,3,67,79,1
5.77,86,7,2,0,4,88,5,89,98,1
5.9,74,1,0,6,3,63,5,73,58,0
8.0,61,3,4,2,3,88,5,90,29,1
9.37,76,6,3,4,4,95,3,57,90,1
5.98,98,6,4,4,5,63,2,69,39,1
6.55,61,9,4,5,2,34,2,63,64,1
8.89,44,3,1,5,5,53,0,62,98,1
9.86,61,10,1,2,1,45,2,65,80,1
7.5,89,5,1,6,2,63,2,69,28,1
5.72,49,9,4,2,6,71,0,56,86,1
5.07,96,3,2,6,6,62,1,85,37,0
6.15,73,1,2,3,6,43,3,77,81,0
5.66,74,1,4,0,2,51,2,91,71,0
8.39,55,4,3,6,5,77,5,85,46,1
5.61,94,10,4,0,6,31,2,57,56,1
7.53,37,1,4,6,6,44,5,53,33,0
8.47,54,4,0,0,0,92,3,71,99,0
7.91,62,2,1,1,5,36,0,74,42,0
6.0,66,10,3,4,6,59,1,62,48,0
9.02,65,7,4,7,5,44,4,89,62,1
8.58,44,8,0,3,1,37,3,79,75,0
8.69,49,8,1,0,5,59,1,87,62,1
5.66,41,7,2,1,0,66,3,55,62,0
5.62,72,8,3,7,3,42,5,90,68,1
9.64,57,1,0,5,4,35,2,60,89,1
6.99,71,9,3,0,3,39,0,72,54,1
6.5,73,8,1,3,4,75,1,71,87,1
7.44,80,8,1,2,1,90,5,91,84,1
8.31,70,4,2,1,4,42,4,63,97,0
9.78,77,9,2,6,4,52,5,62,93,1
6.43,73,4,3,4,4,54,5,66,84,0
9.62,77,1,1,1,2,55,0,68,43,1
5.12,75,10,4,5,2,47,1,59,83,1
7.78,55,3,0,3,1,33,0,58,80,1
8.17,51,2,4,0,3,66,0,61,46,1
5.53,86,7,0,3,4,55,5,73,75,0
5.7,57,3,3,1,2,53,5,67,43,0
7.1,70,9,1,1,2,48,0,69,64,1
9.83,47,5,1,7,2,95,4,85,84,1
7.98,63,1,0,5,1,72,3,62,39,0
9.67,69,10,3,1,4,59,0,95,50,1
9.02,75,6,0,6,5,44,5,87,84,1
7.34,69,3,3,4,2,86,5,58,59,1
8.92,58,7,3,6,6,92,3,65,97,1
5.09,97,6,4,5,3,32,4,59,25,0
5.55,68,1,3,2,1,95,2,63,79,0
9.15,87,8,1,4,2,78,4,68,86,1
8.98,82,5,3,4,0,36,2,56,93,1
6.16,71,7,4,5,0,82,5,50,36,0
7.65,92,9,1,1,2,37,0,71,98,1
8.03,43,7,0,2,3,33,1,85,54,1
9.34,94,7,4,1,5,38,5,65,51,1
8.02,90,3,0,2,0,62,1,93,51,1
7.06,67,3,2,1,5,73,1,68,72,1
6.87,82,5,1,0,1,58,4,95,74,1
7.13,68,9,0,7,0,38,1,61,60,1
8.26,52,6,3,0,4,43,3,76,30,0
9.34,86,4,0,7,5,89,1,88,98,1
7.27,50,8,3,0,4,97,1,52,41,1
6.24,55,9,3,6,0,82,5,96,32,1
6.18,68,10,0,2,0,37,1,68,69,0
8.73,89,3,0,4,2,87,0,74,55,1
